CWL Season: June 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
Latin Power,rackam,18,Drdeam,18,3,100.0%,2:27
Latin Power,brocaleb,18,Omar LP,18,3,100.0%,2:40
Latin Power,Little Roodie!,18,AMBITION LP⚜️,18,3,100.0%,2:09
Latin Power,YokoEno,18,BeNi,18,3,100.0%,2:06
Latin Power,joshu,18,Tom9494,18,3,100.0%,2:11
Latin Power,CRASH,18,GAQUI LP⚜️,18,3,100.0%,2:35
Latin Power,MonseurMaiDra,18,Nͥi̇nͣj̇aͫ LP⚜️,18,3,100.0%,2:26
Latin Power,rackam,18,Drdeam,18,3,100.0%,2:27
Latin Power,brocaleb,18,Omar LP,18,3,100.0%,2:40
Latin Power,Little Roodie!,18,AMBITION LP⚜️,18,3,100.0%,2:09
Latin Power,YokoEno,18,BeNi,18,3,100.0%,2:06
Latin Power,Brad,18,buda,18,3,100.0%,1:44
Latin Power,LLoh7,18,Hansel LP⚜️,18,3,100.0%,2:07
Latin Power,Roodies Raiders,18,Tommm,18,3,100.0%,2:32
Latin Power,ben,18,Dasper LP⚜️,18,3,100.0%,2:44
Latin Power,babyacorns,18,Jefe LP⚜️,18,2,89.0%,2:43
Latin Power,Ryan,18,C ☣ B A N £ R,18,3,100.0%,1:37
Latin Power,jay,18,ro,18,3,100.0%,2:53
Latin Power,kat,18,GALEO LP⚜️,18,2,88.0%,2:42
كلان الورد,Ryan,18,Missed,0,0,0.0%,
كلان الورد,brocaleb,18,Missed,0,0,0.0%,
كلان الورد,YokoEno,18,Missed,0,0,0.0%,
كلان الورد,Little Roodie!,18,Missed,0,0,0.0%,
كلان الورد,Roodies Raiders,18,Missed,0,0,0.0%,
كلان الورد,LLoh7,18,Missed,0,0,0.0%,
كلان الورد,kat,18,Missed,0,0,0.0%,
كلان الورد,jay,18,Missed,0,0,0.0%,
كلان الورد,rackam,18,Missed,0,0,0.0%,
كلان الورد,CRASH,18,Missed,0,0,0.0%,
كلان الورد,ben,18,Missed,0,0,0.0%,
كلان الورد,MonseurMaiDra,18,Missed,0,0,0.0%,
كلان الورد,babyacorns,18,Missed,0,0,0.0%,
كلان الورد,Brad,18,Missed,0,0,0.0%,
كلان الورد,joshu,18,Missed,0,0,0.0%,
كلان الورد,joshu,18,abu hassan,18,3,100.0%,2:20
كلان الورد,alphaster17,18,Gladiator,18,2,92.0%,3:00
كلان الورد,jay,18,kdosh_12,18,3,100.0%,2:46
كلان الورد,YokoEno,18,مالوووك,18,3,100.0%,2:39
كلان الورد,brocaleb,18,ali areeshi✌,18,3,100.0%,2:38
كلان الورد,MonseurMaiDra,18,GFN★,18,2,96.0%,2:45
كلان الورد,Brad,18,yahya,18,3,100.0%,2:32
كلان الورد,rackam,18,✨PREDATOR✨,18,2,93.0%,2:27
كلان الورد,LLoh7,18,♦️ATTRACTIVE ♦️,18,3,100.0%,2:18
كلان الورد,Little Roodie!,18,ابو راكان,18,3,100.0%,1:44
كلان الورد,Roodies Raiders,18,kdosh_11,18,3,100.0%,1:50
كلان الورد,ben,18,"YAHYA,DAGHRIRI",18,2,97.0%,3:00
